Date	Close	Open	High	Low	Volume	ROI
2015-12-28	29.87	30.3	30.3	29.77	79	-1.4196
2015-12-29	29.82	29.87	30.11	29.77	101	-0.16
2015-12-30	30.39	29.82	30.39	29.73	58	1.9231
2015-12-31	29.96	30.3	30.44	29.96	25	-1.4151
2016-01-04	30.01	30.11	30.11	29.82	49	0.1595
2016-01-05	29.87	30.01	30.35	29.82	84	-0.4777
2016-01-06	30.11	30.39	30.39	29.96	51	0.8
2016-01-07	29.96	30.06	30.06	29.82	20	-0.4762
2016-01-08	30.06	29.96	30.11	29.92	19	0.319
2016-01-11	30.01	30.06	30.11	29.87	29	-0.159
2016-01-12	30.06	30.06	30.11	29.92	37	0.1592
2016-01-13	30.25	30.01	30.25	29.87	75	0.6359
2016-01-14	30.25	30.16	30.35	30.01	65	0.0
2016-01-15	30.2	30.35	30.35	30.11	33	-0.158
2016-01-18	30.11	30.2	30.2	30.11	5	-0.3165
2016-01-19	30.3	30.3	30.3	30.11	30	0.6349
2016-01-20	30.35	30.3	30.35	30.3	6	0.1577
2016-01-21	30.16	30.3	30.3	30.16	14	-0.6299
2016-01-22	30.11	30.11	30.11	30.11	11	-0.1585
2016-01-25	30.59	30.16	30.59	30.11	69	1.5873
2016-01-26	31.06	30.49	31.06	30.49	118	1.5625
2016-01-27	31.26	31.73	31.92	31.26	280	0.6154
2016-01-28	31.73	32.31	32.31	31.54	143	1.5291
2016-01-29	31.83	31.83	32.07	31.78	56	0.3012
2016-01-30	32.12	31.83	32.12	31.78	29	0.9009
2016-02-01	32.02	32.12	32.12	31.88	43	-0.2976
2016-02-02	32.07	32.07	32.21	32.02	70	0.1493
2016-02-03	32.07	32.07	32.26	32.02	78	0.0
2016-02-15	32.21	31.83	32.21	31.78	61	0.4471
2016-02-16	32.21	32.21	32.4	32.21	82	0.0
2016-02-17	32.26	32.26	32.31	32.21	57	0.1484
2016-02-18	32.59	32.26	32.93	32.26	129	1.037
2016-02-19	32.78	32.59	32.78	32.5	85	0.5865
2016-02-22	33.02	32.78	33.26	32.78	118	0.7289
2016-02-23	33.26	33.26	33.31	33.12	67	0.7236
2016-02-24	33.45	33.45	33.45	33.26	93	0.5747
2016-02-25	33.6	33.45	33.69	33.45	90	0.4286
2016-02-26	34.41	33.6	34.55	33.6	188	2.4182
2016-03-01	34.79	34.46	35.08	34.46	143	1.1111
2016-03-02	34.41	34.89	35.17	34.41	150	-1.0989
2016-03-03	33.64	34.41	34.5	33.55	210	-2.2222
2016-03-04	33.93	33.64	33.93	33.64	59	0.8523
2016-03-07	34.41	34.03	34.41	33.93	113	1.4085
2016-03-08	34.27	34.6	34.7	33.93	136	-0.4167
2016-03-09	34.07	34.27	34.41	34.03	49	-0.5579
2016-03-10	33.84	34.07	34.17	33.79	46	-0.7013
2016-03-11	34.17	34.41	34.41	33.93	74	0.9887
2016-03-14	34.27	34.41	34.41	34.17	55	0.2797
2016-03-15	34.12	34.27	34.27	34.03	46	-0.4184
2016-03-16	34.07	33.93	34.07	33.93	69	-0.1401
2016-03-17	33.74	34.07	34.07	33.74	44	-0.9818
2016-03-18	33.98	33.55	34.36	33.55	34	0.7082
2016-03-21	33.93	34.31	34.41	33.93	50	-0.1406
2016-03-22	33.36	33.5	33.93	33.36	59	-1.6901
2016-03-23	33.31	33.41	33.84	32.98	45	-0.1433
2016-03-24	34.03	33.74	34.41	33.31	156	2.1521
2016-03-25	33.74	34.31	34.31	33.69	63	-0.8427
2016-03-28	34.03	34.22	34.41	33.84	50	0.8499
2016-03-29	33.6	34.03	34.03	33.6	54	-1.264
2016-03-30	33.74	33.31	33.88	33.17	49	0.4267
2016-03-31	33.74	33.45	33.74	33.36	25	0.0
2016-04-01	33.5	33.74	33.93	33.5	22	-0.7082
2016-04-06	33.41	33.69	33.74	33.26	66	-0.2853
2016-04-07	33.5	33.45	33.55	33.41	27	0.2861
2016-04-08	33.55	33.5	33.74	33.5	44	0.1427
2016-04-11	33.98	33.64	34.12	33.6	102	1.2821
2016-04-12	34.12	34.07	34.17	33.93	121	0.4219
2016-04-13	33.84	34.17	34.41	33.69	229	-0.8403
2016-04-14	34.12	34.89	34.89	34.03	151	0.8475
2016-04-15	34.12	34.12	34.12	33.26	68	0.0
2016-04-18	33.31	33.55	34.12	33.31	206	-2.381
2016-04-19	33.84	34.07	34.07	33.45	248	1.5782
2016-04-20	33.55	33.84	33.84	33.45	341	-0.8475
2016-04-21	33.6	33.55	33.74	33.45	153	0.1425
2016-04-22	33.45	33.45	33.45	32.98	100	-0.4267
2016-04-25	33.84	33.45	33.98	33.45	53	1.1429
2016-04-26	33.5	33.45	33.88	32.98	65	-0.9887
2016-04-27	33.84	33.07	33.88	33.07	141	0.9986
2016-04-28	33.64	33.6	33.88	32.69	62	-0.565
2016-04-29	33.31	33.45	33.45	33.07	71	-0.9943
2016-05-03	33.26	33.31	33.69	32.74	70	-0.1435
2016-05-04	33.45	33.45	33.55	33.12	54	0.5747
2016-05-05	33.31	33.02	33.55	33.02	74	-0.4286
2016-05-06	33.36	33.17	33.55	33.17	39	0.1435
2016-05-09	33.21	33.36	33.36	33.07	135	-0.4298
2016-05-10	32.78	33.02	33.21	32.78	228	-1.295
2016-05-11	32.4	32.88	32.88	32.4	155	-1.1662
2016-05-12	31.49	32.12	32.12	31.49	207	-2.8024
2016-05-13	30.73	31.16	31.16	30.3	403	-2.4279
2016-05-16	30.2	30.59	30.59	30.2	292	-1.7107
2016-05-17	30.11	30.3	30.3	30.01	260	-0.3165
2016-05-18	29.73	30.11	30.11	29.73	345	-1.2698
2016-05-19	29.39	29.77	29.92	29.34	341	-1.1254
2016-05-20	29.2	29.58	29.73	29.15	259	-0.6504
2016-05-23	29.25	29.2	29.3	29.01	410	0.1637
2016-05-24	29.1	29.3	29.3	29.06	354	-0.4902
2016-05-25	29.87	29.25	29.92	29.25	458	2.6273
2016-05-26	29.77	29.87	29.87	29.63	257	-0.32
2016-05-27	29.77	29.73	29.92	29.63	202	0.0
2016-05-30	31.4	29.82	31.54	29.73	914	5.4575
2016-05-31	30.25	31.45	31.73	29.15	3286	-3.653
2016-06-01	30.35	30.39	30.59	29.82	511	0.316
2016-06-02	30.2	30.39	30.49	30.16	471	-0.4724
2016-06-03	30.2	30.25	30.39	30.11	207	0.0
2016-06-04	30.49	30.25	30.59	30.25	277	0.9494
2016-06-06	30.35	30.68	30.68	30.2	322	-0.4702
2016-06-07	30.44	30.44	30.68	30.39	407	0.315
2016-06-08	30.59	30.44	30.59	30.3	211	0.47100000000000003
2016-06-13	30.3	30.68	30.68	30.3	154	-0.9375
2016-06-14	30.35	30.01	30.59	30.01	247	0.1577
2016-06-15	30.39	30.39	30.49	30.2	157	0.1575
2016-06-16	30.44	30.3	30.68	30.3	377	0.1572
2016-06-17	30.44	30.68	30.68	30.35	218	0.0
2016-06-20	31.21	30.73	31.54	30.63	525	2.5118
2016-06-21	31.16	31.54	31.54	31.06	286	-0.1531
2016-06-22	31.16	31.26	31.45	31.02	274	0.0
2016-06-23	31.26	31.16	31.4	31.16	181	0.3067
2016-06-24	30.49	31.35	31.35	30.3	235	-2.4465
2016-06-27	31.06	30.39	31.35	30.3	243	1.8809
2016-06-28	30.78	30.63	31.16	30.63	100	-0.9231
2016-06-29	31.11	31.11	31.64	31.02	260	1.087
2016-06-30	31.21	31.54	31.73	31.11	171	0.3072
2016-07-01	31.45	31.54	31.54	31.21	145	0.7657
2016-07-04	31.3	31.45	31.45	31.26	67	-0.4559
2016-07-05	31.3	31.4	31.4	31.3	104	0.0
2016-07-06	31.21	31.3	31.3	30.97	122	-0.3053
2016-07-07	31.4	31.11	31.54	31.11	82	0.6126
2016-07-11	31.35	31.64	31.64	31.3	89	-0.1522
2016-07-12	31.49	31.54	31.64	31.4	147	0.4573
2016-07-13	31.4	31.4	31.49	31.35	75	-0.3035
2016-07-14	31.45	31.54	31.54	31.3	111	0.1522
2016-07-15	31.54	31.35	31.54	31.35	226	0.304
2016-07-18	31.69	31.49	31.69	31.45	339	0.4545
2016-07-19	31.64	31.64	31.73	31.54	323	-0.1508
2016-07-20	31.78	31.54	31.83	31.54	163	0.4532
2016-07-21	31.88	31.78	31.92	31.69	178	0.3008
2016-07-22	31.73	31.92	31.92	31.69	146	-0.4498
2016-07-25	31.97	31.73	32.02	31.73	189	0.753
2016-07-26	32.69	32.02	32.74	32.02	694	2.2422
2016-07-27	32.45	32.78	32.78	32.31	529	-0.731
2016-07-28	32.9	32.65	33.05	32.5	297	1.3255
2016-07-29	32.65	32.9	33.0	32.65	128	-0.7599
2016-08-01	32.75	32.5	32.75	32.5	113	0.3063
2016-08-02	32.7	32.75	32.85	32.55	80	-0.1527
2016-08-03	32.5	32.55	32.7	32.15	73	-0.6116
2016-08-04	32.2	32.5	32.5	32.15	138	-0.9231
2016-08-05	32.45	32.2	32.55	32.0	74	0.7764
2016-08-08	32.85	32.45	32.85	32.05	151	1.2327
2016-08-09	32.6	32.85	32.85	32.45	63	-0.7609999999999999
2016-08-10	32.5	32.4	32.55	32.2	111	-0.3067
2016-08-11	32.6	32.5	32.6	32.3	157	0.3077
2016-08-12	33.25	34.5	34.5	33.1	681	1.9939
2016-08-15	33.2	33.5	33.6	33.2	168	-0.1504
2016-08-16	32.8	33.25	33.25	32.8	114	-1.2048
2016-08-17	33.55	33.0	33.8	32.9	329	2.2866
2016-08-18	33.3	33.55	33.55	33.2	160	-0.7452
2016-08-19	32.9	33.2	33.4	32.85	143	-1.2012
2016-08-22	32.4	32.9	32.9	32.0	275	-1.5198
2016-08-23	33.1	32.4	33.4	32.4	174	2.1605
2016-08-24	32.9	33.65	33.65	32.55	121	-0.6042
2016-08-25	32.95	33.3	33.3	32.65	46	0.152
2016-08-26	32.7	32.95	32.95	32.5	83	-0.7587
2016-08-29	32.7	32.75	32.8	32.4	165	0.0
2016-08-30	32.6	32.8	32.95	32.4	111	-0.3058
2016-08-31	32.7	32.6	33.15	32.6	253	0.3067
2016-09-01	32.6	32.7	33.0	32.6	136	-0.3058
2016-09-02	32.4	32.9	32.9	32.4	72	-0.6135
2016-09-05	32.5	32.9	33.0	32.4	136	0.3086
2016-09-06	32.35	32.5	32.5	32.3	90	-0.4615
2016-09-07	32.35	32.35	32.65	32.25	187	0.0
2016-09-08	32.5	32.4	32.5	32.35	59	0.4637
2016-09-09	32.9	32.7	33.0	32.65	205	1.2308
2016-09-10	33.35	32.9	33.75	32.5	613	1.3678
2016-09-12	33.0	33.35	33.45	32.95	220	-1.0495
2016-09-13	33.1	33.3	33.4	32.2	193	0.303
2016-09-14	32.45	33.0	33.0	32.45	179	-1.9637
2016-09-19	32.55	32.4	32.6	32.05	163	0.3082
2016-09-20	32.6	32.55	32.65	32.5	93	0.1536
2016-09-21	32.8	32.6	32.9	32.55	153	0.6135
2016-09-22	32.5	32.8	32.85	32.45	147	-0.9146
2016-09-23	32.25	32.5	32.65	32.25	282	-0.7692
2016-09-26	32.45	32.8	32.8	32.3	64	0.6202
2016-09-29	32.35	32.45	33.0	32.2	132	-0.3082
2016-09-30	32.25	32.35	32.4	32.15	108	-0.3091
2016-10-03	32.15	32.3	32.35	32.15	99	-0.3101
2016-10-04	32.25	32.15	32.35	32.15	40	0.311
2016-10-05	32.3	32.25	32.55	32.1	58	0.155
2016-10-06	32.3	32.3	32.5	32.3	34	0.0
2016-10-07	32.2	32.25	32.25	32.1	54	-0.3096
2016-10-11	32.05	32.25	32.25	31.9	270	-0.4658
2016-10-12	32.05	32.05	32.1	32.0	67	0.0
2016-10-13	31.9	32.05	32.15	31.9	120	-0.46799999999999997
2016-10-14	32.15	32.4	32.4	32.0	94	0.7837
2016-10-17	32.25	32.2	32.25	32.1	30	0.311
2016-10-18	32.05	32.25	32.3	32.05	82	-0.6202
2016-10-19	32.05	32.05	32.1	32.0	125	0.0
2016-10-20	32.55	32.05	32.6	32.05	136	1.5601
2016-10-21	32.45	32.55	32.65	32.35	154	-0.3072
2016-10-24	32.5	32.45	32.55	32.3	96	0.1541
2016-10-25	32.45	32.5	32.5	32.4	49	-0.1538
2016-10-26	32.45	32.45	32.5	32.25	58	0.0
2016-10-27	32.35	32.45	32.5	32.25	58	-0.3082
2016-10-28	32.2	32.35	32.35	32.2	25	-0.4637
2016-10-31	32.3	32.2	32.35	32.1	39	0.3106
2016-11-01	32.1	32.3	32.45	32.1	119	-0.6192
2016-11-02	32.1	32.1	32.5	32.1	95	0.0
2016-11-03	32.15	32.1	32.2	32.05	53	0.1558
2016-11-04	32.2	32.1	32.4	32.05	42	0.1555
2016-11-07	32.1	32.25	32.3	32.1	48	-0.3106
2016-11-08	32.15	32.1	32.25	32.0	45	0.1558
2016-11-09	31.8	32.45	32.45	31.8	161	-1.0886
2016-11-10	32.1	31.9	32.2	31.9	88	0.9434
2016-11-11	32.2	32.2	32.45	31.9	136	0.3115
2016-11-14	32.1	32.2	32.2	32.05	64	-0.3106
2016-11-15	32.1	32.05	32.2	32.0	77	0.0
2016-11-16	32.2	32.5	32.5	32.05	56	0.3115
2016-11-17	32.25	32.2	32.4	32.2	58	0.1553
2016-11-18	32.35	32.25	32.4	32.25	63	0.3101
2016-11-21	32.1	32.4	32.4	32.1	83	-0.7728
2016-11-22	32.3	32.1	32.4	32.05	69	0.6231
2016-11-23	32.3	32.1	32.3	32.1	83	0.0
2016-11-24	32.3	32.3	32.4	32.2	27	0.0
2016-11-25	32.3	32.3	32.4	32.25	51	0.0
2016-11-28	32.4	32.3	32.4	32.2	110	0.3096
2016-11-29	32.3	32.5	32.5	32.25	36	-0.3086
2016-11-30	32.4	32.3	32.4	32.25	45	0.3096
2016-12-01	32.3	32.4	32.4	32.2	81	-0.3086
2016-12-02	32.35	32.3	32.35	32.1	115	0.1548
2016-12-05	32.2	32.35	32.35	32.2	132	-0.4637
2016-12-06	32.35	32.25	32.35	32.2	74	0.4658
2016-12-07	32.4	32.35	32.5	32.35	100	0.1546
2016-12-08	32.5	32.3	32.5	32.3	72	0.3086
2016-12-09	32.55	32.6	32.6	32.45	94	0.1538
2016-12-12	32.6	32.6	32.6	32.45	148	0.1536
2016-12-13	32.55	32.6	32.6	32.5	132	-0.1534
2016-12-14	32.55	32.55	32.55	32.45	83	0.0
2016-12-15	32.45	32.45	32.45	32.3	83	-0.3072
2016-12-16	32.45	32.45	32.45	32.35	79	0.0
2016-12-19	32.45	32.35	32.6	32.35	107	0.0
2016-12-20	32.65	32.35	32.7	32.35	83	0.6163
2016-12-21	32.65	32.4	32.8	32.4	55	0.0
2016-12-22	32.5	32.5	32.75	32.5	5	-0.4594
2016-12-23	32.45	32.35	32.5	32.35	14	-0.1538
2016-12-26	32.45	32.45	32.6	32.35	20	0.0
2016-12-27	32.45	32.35	32.6	32.35	14	0.0
2016-12-28	32.5	32.35	32.5	32.35	21	0.1541
2016-12-29	32.35	32.35	32.5	32.35	27	-0.4615
2016-12-30	32.3	32.35	32.4	32.2	96	-0.1546
